1120 S;Unknown;1120S1.EXE;0;Best Programs
Lotus 1-2-3;Unknown;123.EXE;0;Lotus Development
Lotus 1-2-3;2.2;123.EXE;15392;Lotus Development
Lotus 1-2-3;2.3;123.EXE;18368;Lotus Development
Lotus 1-2-3;3.0;123.EXE;54805;Lotus Development
Lotus 1-2-3;3.1;123.EXE;84847;Lotus Development
Lotus 1-2-3 G;Unknown;123G.EXE;0;Lotus Development
Lotus 123;Unknown;123w.exe;0;IBM
Lotus 1-2-3 For Windows;Unknown;123W.EXE;0;Lotus Development
Lotus 1-2-3 97 Application;Unknown;123w.exe;0;Lotus Development Corporation
Lotus 1-2-3 97 For Windows;6.0.9702.1002;123w.exe;10752;Lotus Development
Lotus 1-2-3 For Windows;6.0.9702.1002;123w.exe;10752;Lotus Development
Lotus 1-2-3 97 Application;6.0.9702.1002;123w.exe;10752;Lotus Development Corporation
Lotus 1-2-3 97 For Windows;5.0.0.544;123W.EXE;109136;Lotus Development
Lotus 1-2-3 For Windows;5.0.0.544;123W.EXE;109136;Lotus Development
Lotus 1-2-3 97 Application;5.0.0.544;123W.EXE;109136;Lotus Development Corporation
ChessMaster 2100;Unknown;2100.EXE;0;Electronic Arts
WinOnCD CD Recording Software für Windows 95 und W;WinOnCD Main Application;3,7,0,572;0;Roxio
386Max;Unknown;386MAX.COM;0;Qualitas Inc.
TFTP Server;Unknown;3CTftpSvc.exe;0;3Com
TFTP Server Administration;Unknown;3CTftpSvcCtrl.exe;0;3Com
3Deep Control;0;3Deepctl.exe;0;E-Color, Inc. formerly Sonnetech Ltd.
7-Zip Console version;Unknown;7z.exe;0;Igor Pavlov
7-Zip Console version;2, 30, 17, 0;7z.exe;112128;Igor Pavlov
7-Zip Console version (Alone);Unknown;7za.exe;0;Igor Pavlov
7-Zip Console version (Alone);2, 30, 17, 0;7za.exe;567296;Igor Pavlov
7-Zip Console version (Alone);Unknown;7zan.exe;0;Igor Pavlov
7-Zip Console version (Alone);2, 30, 17, 0;7zan.exe;497664;Igor Pavlov
7-Zip Console version;Unknown;7zn.exe;0;Igor Pavlov
7-Zip Console version;2, 30, 17, 0;7zn.exe;109568;Igor Pavlov
Alpha Three;Unknown;A3MAIN.EXE;0;Alpha Software
Alpha Four;Unknown;A4.EXE;0;Alpha Software
AAI;Unknown;AAI_STRT.EXE;0;Creative Systems Interfac
Animator;Unknown;aaplay.exe;0;AutoDesk
ABC Flowchart;Unknown;ABC.EXE;0;Micrografx
Above Disc;Unknown;ABOVE.EXE;0;Above Software
AutoCAD;Unknown;acad.exe;0;AutoDesk
AutoCAD;13;acad.exe;5654016;AutoDesk
AutoCAD 2000;21.0.0.0;acad.exe;6868992;AutoDesk
AutoCAD Application;2002;acad.exe;7389246;AutoDesk
AutoCAD;14;acad.exe;7624192;AutoDesk
