240;1120 S;Unknown;1120S1.EXE;0;Best Programs
960;Lotus 1-2-3;Unknown;123.EXE;0;Lotus Development
956;Lotus 1-2-3;2.2;123.EXE;15392;Lotus Development
957;Lotus 1-2-3;2.3;123.EXE;18368;Lotus Development
958;Lotus 1-2-3;3.0;123.EXE;54805;Lotus Development
959;Lotus 1-2-3;3.1;123.EXE;84847;Lotus Development
966;Lotus 1-2-3 G;Unknown;123G.EXE;0;Lotus Development
750;Lotus 123;Unknown;123w.exe;0;IBM
965;Lotus 1-2-3 For Windows;Unknown;123W.EXE;0;Lotus Development
1006;Lotus 1-2-3 97 Application;Unknown;123w.exe;0;Lotus Development Corporation
962;Lotus 1-2-3 97 For Windows;6.0.9702.1002;123w.exe;10752;Lotus Development
964;Lotus 1-2-3 For Windows;6.0.9702.1002;123w.exe;10752;Lotus Development
1005;Lotus 1-2-3 97 Application;6.0.9702.1002;123w.exe;10752;Lotus Development Corporation
961;Lotus 1-2-3 97 For Windows;5.0.0.544;123W.EXE;109136;Lotus Development
963;Lotus 1-2-3 For Windows;5.0.0.544;123W.EXE;109136;Lotus Development
1004;Lotus 1-2-3 97 Application;5.0.0.544;123W.EXE;109136;Lotus Development Corporation
601;ChessMaster 2100;Unknown;2100.EXE;0;Electronic Arts
1779;386Max;Unknown;386MAX.COM;0;Qualitas Inc.
7;TFTP Server;Unknown;3CTftpSvc.exe;0;3Com
8;TFTP Server Administration;Unknown;3CTftpSvcCtrl.exe;0;3Com
580;3Deep Control;0;3Deepctl.exe;0;E-Color, Inc. formerly Sonnetech Ltd.
809;7-Zip Console version;Unknown;7z.exe;0;Igor Pavlov
807;7-Zip Console version;2, 30, 17, 0;7z.exe;112128;Igor Pavlov
813;7-Zip Console version (Alone);Unknown;7za.exe;0;Igor Pavlov
812;7-Zip Console version (Alone);2, 30, 17, 0;7za.exe;567296;Igor Pavlov
814;7-Zip Console version (Alone);Unknown;7zan.exe;0;Igor Pavlov
811;7-Zip Console version (Alone);2, 30, 17, 0;7zan.exe;497664;Igor Pavlov
810;7-Zip Console version;Unknown;7zn.exe;0;Igor Pavlov
808;7-Zip Console version;2, 30, 17, 0;7zn.exe;109568;Igor Pavlov
106;Alpha Three;Unknown;A3MAIN.EXE;0;Alpha Software
105;Alpha Four;Unknown;A4.EXE;0;Alpha Software
496;AAI;Unknown;AAI_STRT.EXE;0;Creative Systems Interfac
200;Animator;Unknown;aaplay.exe;0;AutoDesk
1165;ABC Flowchart;Unknown;ABC.EXE;0;Micrografx
13;Above Disc;Unknown;ABOVE.EXE;0;Above Software
204;AutoCAD;Unknown;acad.exe;0;AutoDesk
202;AutoCAD;13;acad.exe;5654016;AutoDesk
205;AutoCAD 2000;21.0.0.0;acad.exe;6868992;AutoDesk
206;AutoCAD Application;2002;acad.exe;7389246;AutoDesk
203;AutoCAD;14;acad.exe;7624192;AutoDesk
1933;Pfs: Access;Unknown;ACCESS.WEL;0;Software Publishing Corp.
703;Accumail;Unknown;ACCUMAIL.EXE;0;Group 1 Software
21;ACDSee 32;Unknown;ACDSee32.exe;0;ACD Systems, Ltd.
22;ACDSee Classic;2.4.3.0;ACDSee32.exe;1445888;ACD Systems, Ltd.
20;ACDSee 32;3.1.0.0;ACDSee32.exe;676352;ACD Systems, Ltd.
19;ACDSee 32;2.2.2.0;ACDSee32.exe;965632;ACD Systems, Ltd.
23;ACE;Unknown;ace.exe;0;ACE Gmbh
24;Ace File;Unknown;ACEFILE.EXE;0;Ace Software Corporation
876;Accuret;Unknown;ACFORHD.COM;0;Intuit
207;AutoCAD LT;Unknown;aclt.exe;0;AutoDesk
331;Acnap;Unknown;ACNAP.COM;0;Bv Engineering Software
35;Acrobat;Unknown;Acrobat.exe;0;Adobe
34;Acrobat;6.0;Acrobat.exe;10207298;Adobe
31;Acrobat;4.05;Acrobat.exe;2999808;Adobe
32;Acrobat;5.0;Acrobat.exe;5230652;Adobe
33;Acrobat;5.0.5;Acrobat.exe;5292096;Adobe
38;Acrobat Catalog;Unknown;acrocat.exe;0;Adobe
37;Acrobat Catalog;4.0;acrocat.exe;1282048;Adobe
42;Acrobat Distiller;Unknown;acrodist.exe;0;Adobe
41;Acrobat Distiller;5.0.000;acrodist.exe;106598;Adobe
40;Acrobat Distiller;5.0.000;acrodist.exe;118890;Adobe
39;Acrobat Distiller;4.0.500;acrodist.exe;137216;Adobe
36;Acrobat;Unknown;acroexch.exe;0;Adobe
57;Acrobat Reader;Unknown;acrord32.exe;0;Adobe
44;Acrobat Reader;3.0;AcroRd32.exe;2263552;Adobe
47;Acrobat Reader;4.0.000;AcroRd32.exe;2297344;Adobe
45;Acrobat Reader;4.0;acrord32.exe;2316288;Adobe
43;Acrobat Reader;3.0;AcroRd32.exe;2318848;Adobe
49;Acrobat Reader;4.5;acrord32.exe;2333184;Adobe
48;Acrobat Reader;4.05;AcroRd32.exe;2333696;Adobe
46;Acrobat Reader;4.0;AcroRd32.exe;2334208;Adobe
50;Acrobat Reader;5.0;acrord32.exe;3870784;Adobe
51;Acrobat Reader;5.0.5;AcroRd32.exe;3891268;Adobe
52;Acrobat Reader;5.1.0;AcroRd32.exe;4669511;Adobe
2204;Acrobat Reader;5.1.0.216;AcroRd32.exe;4669511;Unknown
53;Acrobat Reader;6.0;AcroRd32.exe;7663683;Adobe
2205;AcroRd32.exe;Unknown;AcroRd32.exe;7663683;Unknown
55;Acrobat Reader;6.0.2.2004051800;AcroRd32.exe;7667779;Adobe
54;Acrobat Reader;6.0.1.2003110300;AcroRd32.exe;7671876;Adobe
56;Acrobat Reader;Unknown;ACROREAD.EXE;0;Adobe
58;Arcobat Reader;3.0.000;ACROREAD.EXE;2318848;Adobe
609;PRF Generator for AutoCAD;2000;acsubmit.exe;159744;eQuorum
610;PRF Generator for AutoCAD;2002;acsubmit.exe;207266;eQuorum
410;Access Guard;Unknown;ACS_MAT.COM;0;Commcrypt
849;Act!;Unknown;ACT.EXE;0;Interact Commerce Corporation
853;ACT! 5.0 Application;Unknown;act.exe;0;Interact Commerce Corporation
2030;Act!;Unknown;ACT.EXE;0;Symantec Corp.
846;Act!;4.0.2.358;ACT.EXE;3247616;Interact Commerce Corporation
2029;Act!;4.0.2.358;ACT.EXE;3247616;Symantec Corp.
847;ACT!;5.0.2.353;act.exe;5275693;Interact Commerce Corporation
851;ACT! 5.0 Application;5.0.2.353;act.exe;5275693;Interact Commerce Corporation
848;ACT!;5.0.4.495;act.exe;5509165;Interact Commerce Corporation
852;ACT! 5.0 Application;5.0.4.495;act.exe;5509165;Interact Commerce Corporation
850;ACT! 2000 Data Diagnostic Tool v5.0.2.;5.00.2000;actdiag.exe;716800;Interact Commerce Corporation
1397;SideWinder Profile Activator;3.02.391;Activator.exe;72704;Microsoft
2274;Actor;Unknown;ACTOR.EXE;0;Whitewater Group
854;Act! For Windows;Unknown;ACTWIN.EXE;0;Interact Commerce Corporation
2028;Act For Windows;Unknown;ACTWIN.EXE;0;Symantec Corp.
940;Ad-aware;Unknown;Ad-aware.exe;0;LavaSoft
938;Ad-aware;5.0.6.20;Ad-aware.exe;337408;LavaSoft
939;Ad-aware;6.0.1.181;Ad-aware.exe;684544;LavaSoft
238;After Dark;Unknown;AD.EXE;0;Berkely Systems
1019;Advanced DB Master;Unknown;ADBM.EXE;0;Macon Systems
1020;Advanced DB Master 4;Unknown;ADBM4.EXE;0;Macon Systems
74;ADP PC/PAYROLL FOR WINDOWS;2.52 SQL;ADPPAYROLL.EXE;0;ADP
201;Architectual Desktop;3.3;adt.arg;4934;AutoDesk
1184;Personal Organizer;Unknown;ADVANTAG.EXE;0;Microlytics
239;AfterDark for Windows 3.0;Unknown;ADW30.EXE;0;Berkely Systems
930;ADW Cnstrctn Worksta;Unknown;ADWAWS.EXE;0;Knowledgeware
214;Cad Overlay;2002;AeciQuickBarUi22.arx;45056;AutoDesk
401;Allclear;Unknown;AEDIT.EXE;0;Clear Software
208;AutoFlix;Unknown;afega.exe;0;AutoDesk
213;CA Lab;Unknown;afegap.exe;0;AutoDesk
967;Lotus Agenda;Unknown;AGENDA.EXE;0;Lotus Development
548;Agent for Windows;Unknown;agent.exe;0;Dazler Software Inc.
547;Agent for Windows;1.9;agent.exe;2850336;Dazler Software Inc.
645;Agent for Windows;1.93;agent.exe;2917408;Forte Internet Software Inc.
1888;Leisure Suit Larry;Unknown;AGI.EXE;0;Sierra On-line
2000;Atlas GIS/Win;Unknown;AGISW.EXE;0;Strategic Mapping
128;AIA;Unknown;aia97.exe;0;American Institute Of Architects
59;Illustrator;Unknown;aicon.exe;0;Adobe
125;AOL Instant Messenger (SM);Unknown;aim.exe;0;America Online
124;AOL Instant Messenger (SM);5.2.3292;aim.exe;61440;America Online
123;AOL Instant Messenger (SM);3.0.1470;aim.exe;9728;America Online
420;Spry Mosaic WWW Browser;Unknown;AIRMOS.EXE;0;Compuserve
89;Albacs;Unknown;ALBACS.EXE;0;Albany Software
90;ALBACS.EXE;Unknown;ALBACS.EXE;1229280;Albany Software
497;Album Generator;1.54.0.0;albumgen.exe;147456;Creative Technology Ltd
2118;Investor Returns Rater;Unknown;ALCARIRR.EXE;0;The Alcar Group
2119;The Merger Planner;Unknown;ALCARTMP.EXE;0;The Alcar Group
2120;The Strategy Planner;Unknown;ALCARTSP.EXE;0;The Alcar Group
2121;The Value Planner;Unknown;ALCARTVP.EXE;0;The Alcar Group
